class_index,model_id,model_name,make_id,make_name,body_type,in_surveillance,sv_model_id,sv_make_name,sv_model_name,accuracy_pct,correct_samples,test_images,train_images,total_images,folder_path
0,1,Audi A3 hatchback,78,Audi,hatchback,False,,,,60.87,42,69,71,140,../../compcars_cctv/extracted/data_extracted/data/image/78/1
1,2,Audi A4L,78,Audi,sedan,False,,,,78.05,64,82,84,166,../../compcars_cctv/extracted/data_extracted/data/image/78/2
2,3,Audi A6L,78,Audi,sedan,False,,,,50.0,33,66,69,135,../../compcars_cctv/extracted/data_extracted/data/image/78/3
3,4,Audi Q3,78,Audi,SUV,True,4,Audi,Audi Q3,68.97,20,29,33,62,../../compcars_cctv/extracted/data_extracted/data/image/78/4
4,5,Audi Q5,78,Audi,SUV,True,3,Audi,Audi Q5,58.67,44,75,78,153,../../compcars_cctv/extracted/data_extracted/data/image/78/5
5,11,Audi A3 sedan,78,Audi,sedan,False,,,,69.23,18,26,28,54,../../compcars_cctv/extracted/data_extracted/data/image/78/11
6,19,Audi A1,78,Audi,hatchback,True,6,Audi,Audi A1,58.54,24,41,43,84,../../compcars_cctv/extracted/data_extracted/data/image/78/19
7,21,Audi A4 estate,78,Audi,estate,False,,,,66.67,12,18,20,38,../../compcars_cctv/extracted/data_extracted/data/image/78/21
8,22,Audi A5 convertible,78,Audi,convertible,False,,,,62.22,28,45,47,92,../../compcars_cctv/extracted/data_extracted/data/image/78/22
9,23,Audi A5 coupe,78,Audi,sedan,False,,,,66.67,36,54,56,110,../../compcars_cctv/extracted/data_extracted/data/image/78/23
10,24,Audi A5 hatchback,78,Audi,fastback,False,,,,32.69,17,52,53,105,../../compcars_cctv/extracted/data_extracted/data/image/78/24
11,26,Audi A7,78,Audi,fastback,True,5,Audi,Audi A7,75.0,39,52,54,106,../../compcars_cctv/extracted/data_extracted/data/image/78/26
12,27,Audi A8L,78,Audi,sedan,False,,,,69.32,61,88,91,179,../../compcars_cctv/extracted/data_extracted/data/image/78/27
13,32,Audi Q7,78,Audi,SUV,False,,,,80.28,57,71,74,145,../../compcars_cctv/extracted/data_extracted/data/image/78/32
14,34,Audi S5 convertible,78,Audi,convertible,False,,,,66.67,18,27,30,57,../../compcars_cctv/extracted/data_extracted/data/image/78/34
15,39,Audi S8,78,Audi,sedan,False,,,,33.33,8,24,28,52,../../compcars_cctv/extracted/data_extracted/data/image/78/39
16,42,Audi TTS coupe,78,Audi,sports,False,,,,61.29,19,31,35,66,../../compcars_cctv/extracted/data_extracted/data/image/78/42
17,44,Audi TT coupe,78,Audi,sports,False,,,,82.93,34,41,43,84,../../compcars_cctv/extracted/data_extracted/data/image/78/44
18,68,BWM 3 Series,81,BWM,sedan,True,274,BWM,BWM 3 Series,62.14,87,140,143,283,../../compcars_cctv/extracted/data_extracted/data/image/81/68
19,69,BWM X1,81,BWM,SUV,True,271,BWM,BWM X1,34.38,22,64,66,130,../../compcars_cctv/extracted/data_extracted/data/image/81/69
20,70,BWM 5 Series,81,BWM,sedan,True,273,BWM,BWM 5 Series,64.35,74,115,118,233,../../compcars_cctv/extracted/data_extracted/data/image/81/70
21,75,BWM M5,81,BWM,sedan,False,,,,71.43,20,28,30,58,../../compcars_cctv/extracted/data_extracted/data/image/81/75
