class_index,make_id,make_name,model_id,class_name,folder_path,sample_image,total_samples,correct_samples,accuracy_pct
0,78,Audi,1,Audi A3 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/78/1,../../compcars_cctv/extracted/data_extracted/data/image/78/1/2014/3ac218c0c6c378.jpg,69,42,60.87
1,78,Audi,2,Audi A4L,../../compcars_cctv/extracted/data_extracted/data/image/78/2,../../compcars_cctv/extracted/data_extracted/data/image/78/2/2013/9c3b571b534d77.jpg,82,64,78.05
2,78,Audi,3,Audi A6L,../../compcars_cctv/extracted/data_extracted/data/image/78/3,../../compcars_cctv/extracted/data_extracted/data/image/78/3/2010/f0819a90b50eb1.jpg,66,33,50.0
3,78,Audi,4,Audi Q3,../../compcars_cctv/extracted/data_extracted/data/image/78/4,../../compcars_cctv/extracted/data_extracted/data/image/78/4/2012/46b2122d16ff85.jpg,29,20,68.97
4,78,Audi,5,Audi Q5,../../compcars_cctv/extracted/data_extracted/data/image/78/5,../../compcars_cctv/extracted/data_extracted/data/image/78/5/2011/b11cf9915c00e0.jpg,75,44,58.67
5,78,Audi,11,Audi A3 sedan,../../compcars_cctv/extracted/data_extracted/data/image/78/11,../../compcars_cctv/extracted/data_extracted/data/image/78/11/2014/fb736dcd3dfb74.jpg,26,18,69.23
6,78,Audi,19,Audi A1,../../compcars_cctv/extracted/data_extracted/data/image/78/19,../../compcars_cctv/extracted/data_extracted/data/image/78/19/2012/bbc4976880a3e1.jpg,41,24,58.54
7,78,Audi,21,Audi A4 estate,../../compcars_cctv/extracted/data_extracted/data/image/78/21,../../compcars_cctv/extracted/data_extracted/data/image/78/21/2014/faa4b577fbe8f0.jpg,18,12,66.67
8,78,Audi,22,Audi A5 convertible,../../compcars_cctv/extracted/data_extracted/data/image/78/22,../../compcars_cctv/extracted/data_extracted/data/image/78/22/2010/f927700bf7b496.jpg,45,28,62.22
9,78,Audi,23,Audi A5 coupe,../../compcars_cctv/extracted/data_extracted/data/image/78/23,../../compcars_cctv/extracted/data_extracted/data/image/78/23/2012/c60fee6518c354.jpg,54,36,66.67
10,78,Audi,24,Audi A5 hatchback,../../compcars_cctv/extracted/data_extracted/data/image/78/24,../../compcars_cctv/extracted/data_extracted/data/image/78/24/2010/970467a3f4724a.jpg,52,17,32.69
11,78,Audi,26,Audi A7,../../compcars_cctv/extracted/data_extracted/data/image/78/26,../../compcars_cctv/extracted/data_extracted/data/image/78/26/2015/b09759873e4b70.jpg,52,39,75.0
12,78,Audi,27,Audi A8L,../../compcars_cctv/extracted/data_extracted/data/image/78/27,../../compcars_cctv/extracted/data_extracted/data/image/78/27/2012/044351578f85e6.jpg,88,61,69.32
13,78,Audi,32,Audi Q7,../../compcars_cctv/extracted/data_extracted/data/image/78/32,../../compcars_cctv/extracted/data_extracted/data/image/78/32/2013/d8cd1301b8b7f6.jpg,71,57,80.28
14,78,Audi,34,Audi S5 convertible,../../compcars_cctv/extracted/data_extracted/data/image/78/34,../../compcars_cctv/extracted/data_extracted/data/image/78/34/2010/91b00bbbe7cfe6.jpg,27,18,66.67
15,78,Audi,39,Audi S8,../../compcars_cctv/extracted/data_extracted/data/image/78/39,../../compcars_cctv/extracted/data_extracted/data/image/78/39/2009/15d3e4c109f581.jpg,24,8,33.33
