make_id,make_name,num_models,total_samples,correct_samples,accuracy_pct,macro_acc_pct,best_model,worst_model,rank
84,Brabus,1,18,3,16.67,16.67,Brabus S Class (16.67%),Brabus S Class (16.67%),1
128,SAAB,1,14,4,28.57,28.57,SAAB D70 (28.57%),SAAB D70 (28.57%),2
155,Lufeng,2,42,18,42.86,48.22,Landwind X5 (64.29%),Landwind X8 (32.14%),3
106,Jonway,1,9,4,44.44,44.44,Yongyuan A380 (44.44%),Yongyuan A380 (44.44%),4
69,Geely,6,182,86,47.25,45.96,Geely EC8 (70.83%),Geely SC7 (26.67%),5
80,Wealeak,1,10,5,50.0,50.0,WeaLink X5 (50.0%),WeaLink X5 (50.0%),6
103,Opel,3,80,40,50.0,52.33,Zafira (61.54%),Antara (46.88%),7
94,Subaru,2,55,28,50.91,50.34,Impreza sedan (56.67%),Impreza hatchback (44.0%),8
70,Venucia,2,44,23,52.27,52.94,Venucia R50 (57.89%),Venucia D50 (48.0%),9
119,Everus,1,21,11,52.38,52.38,Linian S1 (52.38%),Linian S1 (52.38%),10
118,Hyundai ,14,326,171,52.45,51.66,Veloster (92.59%),Mistra (10.0%),11
81,BWM,18,799,423,52.94,52.58,BWM X6 (76.32%),BWM X5 (25.68%),12
100,Honda,7,270,145,53.7,55.49,Honda CR-V (74.29%),Civic (43.59%),13
76,Besturn,4,186,100,53.76,53.45,Besturn X80 (82.14%),Besturn B90 (24.14%),14
35,Dongfengfengshen,4,122,67,54.92,58.53,Fengshen CROSS (75.0%),Fengshen S30 (38.78%),15
108,Jianghuai,7,240,132,55.0,52.53,Heyue RS (87.3%),Heyue (24.44%),16
88,GAC,1,9,5,55.56,55.56,Saboo GX5 (55.56%),Saboo GX5 (55.56%),17
73,Volkswagen,30,1125,635,56.44,56.18,Cross Lavida (100.0%),Magotan (18.52%),18
28,Mitsubishi,7,278,162,58.27,52.68,Pajero (81.82%),Mitsubishi Fortis (20.0%),19
114,Haima,8,190,111,58.42,58.34,Haima S7 (84.62%),Qiubite (20.69%),20
